venta_id,fecha,pais,ciudad,canal,categoria,metodo_pago,tipo_cliente,unidades,precio_unitario,descuento_pct,ingreso,costo_total,margen,edad_cliente,satisfaccion,dias_entrega,devolucion,segmento_venta
1,2026-01-09,Perú,Arequipa,Web,Belleza,Tarjeta,Nuevo,3,120000,0.0,360000.0,198000.00000000003,161999.99999999997,22.0,1.0,7.0,No,Venta media
2,2026-01-29,México,CDMX,WhatsApp,Deportes,Tarjeta,Nuevo,2,180000,0.2,288000.0,129600.0,158400.0,52.0,5.0,7.0,Sí,Venta media
3,2026-01-13,Colombia,Bogotá,WhatsApp,Ropa,Transferencia,Nuevo,5,55000,0.2,220000.0,121000.00000000001,98999.99999999999,52.0,1.0,4.0,No,Venta media
4,2026-03-31,Colombia,Cali,App,Deportes,Billetera digital,Recurrente,3,80000,0.2,192000.0,144000.0,48000.0,31.0,3.0,4.0,No,Venta media
5,2026-02-13,México,CDMX,Tienda física,Deportes,Billetera digital,Recurrente,4,55000,0.2,2800000.0,79200.0,1250000.0,47.0,1.0,7.0,No,Venta grande
6,2026-02-04,México,Puebla,Web,Belleza,Tarjeta,Recurrente,3,180000,0.1,486000.0,364500.0,121500.0,42.0,5.0,2.0,Sí,Venta media
7,2026-01-15,Chile,Santiago,Tienda física,Tecnología,Billetera digital,Recurrente,4,180000,0.1,648000.0,291600.0,356400.0,35.0,4.0,3.0,No,Venta grande
8,2026-02-05,Chile,Santiago,Tienda física,Hogar,Transferencia,Nuevo,4,80000,0.15,272000.0,122400.0,149600.0,42.0,2.0,7.0,No,Venta media
9,2026-01-02,México,Puebla,Tienda física,Deportes,Billetera digital,Recurrente,4,40000,0.05,152000.0,68400.0,83600.0,25.0,2.0,4.0,No,Venta media
10,2026-03-25,Chile,Valparaíso,Tienda física,Ropa,Tarjeta,Nuevo,4,120000,0.1,432000.0,280800.0,151200.0,31.0,2.0,4.0,No,Venta media
11,2026-02-26,Colombia,Barranquilla,WhatsApp,Deportes,Billetera digital,Recurrente,4,25000,0.15,85000.0,63750.0,21250.0,28.0,1.0,2.0,No,Venta pequeña
12,2026-01-27,México,CDMX,Web,Ropa,Tarjeta,Nuevo,5,40000,0.2,160000.0,72000.0,88000.0,52.0,3.0,1.0,Sí,Venta media
